球団,推定年俸,守備,年数,年齢,身長,体重,血液型,投打,年,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,球団勝率,プレーオフ,球団平均得点,球団打率
h,520,内野手,3,20,186,85,O型,右右,2017,0.5,1,2,2,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,12.3,11.07,0.657,4,4.46,0.259
l,50000,内野手,5,32,198,118,不明,右右,2017,0.24100000000000002,113,388,345,83,19,53,1,37,4,100,0,7,0.32,0.45799999999999996,0.778,5.03,5.1,0.564,1,4.83,0.264
l,28000,内野手,17,35,175,102,O型,右右,2017,0.217,115,486,415,90,27,79,1,61,4,118,0,12,0.319,0.446,0.765,4.69,4.98,0.564,1,4.83,0.264
l,22000,外野手,8,30,184,85,A型,右左,2017,0.322,143,659,575,185,25,89,16,72,5,97,0,4,0.39799999999999996,0.536,0.9329999999999999,8.2,7.96,0.564,1,4.83,0.264
l,21000,内野手,10,28,182,90,O型,右右,2017,0.29100000000000004,143,633,574,167,19,99,5,44,8,96,1,17,0.34700000000000003,0.45299999999999996,0.799,5.47,5.39,0.564,1,4.83,0.264
l,13000,外野手,17,35,177,85,O型,右左,2017,0.252,116,374,333,84,9,46,0,27,3,64,4,10,0.308,0.37200000000000005,0.68,3.76,3.97,0.564,1,4.83,0.264
l,11000,捕手,13,31,181,95,O型,右右,2017,0.251,104,310,267,67,5,30,2,8,8,45,23,6,0.289,0.348,0.638,3.12,3.22,0.564,1,4.83,0.264
l,5000,外野手,6,28,179,77,B型,右両,2017,0.272,90,320,283,77,5,34,25,27,1,49,5,5,0.33299999999999996,0.39899999999999997,0.733,4.78,4.78,0.564,1,4.83,0.264
l,4100,内野手,2,25,179,73,O型,右左,2017,0.27,143,647,575,155,3,57,37,36,6,100,26,5,0.317,0.35100000000000003,0.669,4.08,4.03,0.564,1,4.83,0.264
l,4000,捕手,5,23,170,80,A型,右左,2017,0.33899999999999997,38,145,124,42,2,18,3,21,0,24,0,4,0.434,0.5,0.934,8.13,7.63,0.564,1,4.83,0.264
l,3200,内野手,5,26,176,108,A型,右右,2017,0.298,78,293,242,72,23,61,0,46,5,72,0,7,0.42,0.6609999999999999,1.081,9.42,9.14,0.564,1,4.83,0.264
l,2700,内野手,4,25,177,78,O型,右右,2017,0.258,135,489,438,113,10,48,23,33,5,109,10,4,0.315,0.39,0.706,4.6,4.57,0.564,1,4.83,0.264
l,2350,捕手,5,29,173,80,B型,右右,2017,0.22899999999999998,68,172,144,33,0,9,0,10,6,28,12,1,0.306,0.285,0.591,3.02,2.96,0.564,1,4.83,0.264
l,1860,外野手,12,30,183,88,O型,右右,2017,0.201,105,203,184,37,2,13,7,13,1,53,4,5,0.256,0.272,0.528,1.82,1.98,0.564,1,4.83,0.264
l,1200,外野手,10,32,178,90,A型,右左,2017,0.43799999999999994,11,19,16,7,2,4,0,3,0,8,0,0,0.526,0.813,1.339,17.51,16.59,0.564,1,4.83,0.264
l,1200,内野手,7,25,174,80,B型,右左,2017,0.235,25,19,17,4,1,4,0,0,0,5,2,0,0.235,0.47100000000000003,0.706,3.63,3.65,0.564,1,4.83,0.264
l,850,内野手,6,29,163,70,A型,右左,2017,0.28,56,51,50,14,0,4,5,1,0,6,0,1,0.294,0.34,0.634,2.69,2.61,0.564,1,4.83,0.264
l,750,内野手,3,25,178,75,AB型,右左,2017,0.231,15,44,39,9,0,4,1,4,0,8,0,2,0.295,0.33299999999999996,0.629,3.01,3.18,0.564,1,4.83,0.264
e,20000,外野手,3,31,192,119,不明,左左,2017,0.281,120,517,463,130,26,75,3,50,4,139,0,16,0.35600000000000004,0.49,0.846,5.83,5.75,0.55,2,4.09,0.254
e,20000,内野手,4,31,178,100,不明,右右,2017,0.271,142,605,542,147,31,82,7,50,10,98,0,14,0.342,0.493,0.835,5.79,5.76,0.55,2,4.09,0.254
e,20000,内野手,17,35,180,89,B型,右右,2017,0.25,51,135,128,32,1,10,0,6,0,26,1,3,0.284,0.344,0.627,3.12,3.01,0.55,2,4.09,0.254
e,11000,内野手,14,36,175,75,O型,右左,2017,0.252,102,315,270,68,3,33,2,16,1,21,25,8,0.293,0.33299999999999996,0.626,2.95,2.98,0.55,2,4.09,0.254
e,10000,内野手,13,30,174,78,A型,右左,2017,0.293,143,590,529,155,3,60,2,56,2,74,1,11,0.36200000000000004,0.36700000000000005,0.728,4.99,4.79,0.55,2,4.09,0.254
e,10000,捕手,12,33,179,82,A型,右右,2017,0.19899999999999998,112,369,281,56,3,28,2,57,3,62,27,8,0.33899999999999997,0.263,0.603,3.07,3.19,0.55,2,4.09,0.254
e,6400,内野手,3,24,171,75,O型,右左,2017,0.29600000000000004,103,450,398,118,17,47,3,45,2,84,4,4,0.37,0.49700000000000005,0.867,6.77,6.54,0.55,2,4.09,0.254
e,6000,内野手,3,31,193,135,不明,右右,2017,0.237,121,460,417,99,23,65,0,39,2,102,0,18,0.304,0.424,0.7290000000000001,3.92,4.09,0.55,2,4.09,0.254
e,5500,外野手,7,28,180,75,B型,左左,2017,0.265,143,577,494,131,14,47,3,64,4,67,12,8,0.35200000000000004,0.391,0.743,4.82,4.86,0.55,2,4.09,0.254
e,4400,外野手,7,29,176,82,B型,右左,2017,0.26,111,400,342,89,3,32,3,41,2,65,10,6,0.33799999999999997,0.354,0.6920000000000001,4.26,4.32,0.55,2,4.09,0.254
e,3750,外野手,11,33,179,72,B型,右左,2017,0.25,111,252,232,58,1,21,2,13,4,50,2,2,0.3,0.341,0.6409999999999999,3.62,3.54,0.55,2,4.09,0.254
e,2000,捕手,17,38,183,103,B型,右右,2017,0.1,20,23,20,2,1,1,0,0,0,9,3,0,0.1,0.25,0.35,0.15,0.48,0.55,2,4.09,0.254
e,1900,外野手,13,31,178,80,AB型,右左,2017,0.16899999999999998,32,77,71,12,1,4,1,6,0,23,0,1,0.23399999999999999,0.268,0.501,1.77,1.88,0.55,2,4.09,0.254
e,1800,捕手,3,29,178,83,A型,右右,2017,0.21100000000000002,49,87,76,16,1,7,0,5,1,18,5,1,0.268,0.289,0.5579999999999999,2.2,2.3,0.55,2,4.09,0.254
e,1400,外野手,3,21,185,90,O型,右右,2017,0.3,41,141,130,39,3,11,5,3,3,38,5,3,0.331,0.5,0.831,5.48,5.07,0.55,2,4.09,0.254
e,1300,外野手,2,24,181,75,A型,右両,2017,0.111,51,59,54,6,1,2,7,3,0,25,2,0,0.158,0.204,0.36200000000000004,0.56,0.82,0.55,2,4.09,0.254
e,1000,内野手,7,25,174,75,A型,右右,2017,0.243,56,115,103,25,1,9,0,7,0,27,4,1,0.28800000000000003,0.359,0.648,3.34,3.3,0.55,2,4.09,0.254
e,700,外野手,4,26,175,79,O型,右右,2017,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.55,2,4.09,0.254
e,600,内野手,3,21,180,73,O型,右右,2017,0.5,1,3,2,1,0,0,0,1,0,1,0,0,0.667,0.5,1.167,21.22,19.98,0.55,2,4.09,0.254
bs,35000,内野手,16,36,180,90,A型,右右,2017,0.285,124,489,431,123,9,49,0,46,7,93,0,11,0.36,0.392,0.752,5.14,5.12,0.444,0,3.77,0.251
bs,28750,外野手,2,30,188,100,不明,右右,2017,0.27399999999999997,103,424,390,107,26,66,2,27,6,98,0,12,0.33,0.508,0.838,5.6,5.61,0.444,0,3.77,0.251
bs,12000,外野手,13,30,187,100,B型,左左,2017,0.266,143,593,504,134,31,68,2,83,5,141,0,10,0.374,0.488,0.862,6.55,6.53,0.444,0,3.77,0.251
bs,10900,内野手,2,30,191,95,不明,右右,2017,0.29,82,319,283,82,20,50,1,29,5,84,0,6,0.364,0.562,0.925,7.2,7.11,0.444,0,3.77,0.251
bs,6400,内野手,7,30,179,78,O型,右右,2017,0.203,109,380,316,64,3,26,4,37,10,61,17,5,0.306,0.278,0.584,2.82,2.91,0.444,0,3.77,0.251
bs,6300,内野手,16,38,177,88,O型,右右,2017,0.27699999999999997,130,506,470,130,6,47,0,28,3,60,3,13,0.32,0.349,0.669,3.81,3.75,0.444,0,3.77,0.251
bs,3100,外野手,3,25,173,83,B型,右左,2017,0.311,64,268,228,71,12,38,1,38,1,32,0,9,0.41,0.518,0.9279999999999999,7.41,7.2,0.444,0,3.77,0.251
bs,3100,内野手,4,28,167,68,O型,右左,2017,0.23399999999999999,100,331,282,66,2,21,8,24,6,46,16,4,0.305,0.309,0.613,3.16,3.24,0.444,0,3.77,0.251
bs,2800,内野手,3,25,175,75,B型,右右,2017,0.24600000000000002,122,400,345,85,2,21,7,16,3,59,35,6,0.285,0.299,0.583,2.59,2.58,0.444,0,3.77,0.251
bs,2300,内野手,7,31,177,78,O型,右左,2017,0.213,61,182,164,35,2,19,3,7,0,21,9,4,0.243,0.305,0.5479999999999999,2.17,2.31,0.444,0,3.77,0.251
bs,2000,捕手,5,23,179,90,O型,右右,2017,0.20199999999999999,100,256,218,44,1,18,0,10,3,50,23,9,0.245,0.271,0.515,1.52,1.62,0.444,0,3.77,0.251
bs,1800,外野手,8,31,178,85,A型,右右,2017,0.27,52,146,137,37,2,13,0,6,1,32,1,0,0.303,0.39399999999999996,0.698,4.32,4.25,0.444,0,3.77,0.251
bs,1700,外野手,6,24,183,83,O型,右右,2017,0.295,97,219,207,61,2,14,0,5,3,47,4,3,0.321,0.36200000000000004,0.6829999999999999,4.14,3.95,0.444,0,3.77,0.251
bs,1250,内野手,7,31,180,80,O型,右右,2017,0.14300000000000002,5,9,7,1,0,1,0,2,0,1,0,1,0.33299999999999996,0.14300000000000002,0.47600000000000003,0.77,1.0,0.444,0,3.77,0.251
bs,1160,捕手,18,36,180,88,O型,右右,2017,0.111,17,22,18,2,0,2,0,2,0,4,2,0,0.2,0.222,0.42200000000000004,1.05,1.1,0.444,0,3.77,0.251
bs,700,外野手,3,27,190,94,B型,右右,2017,0.11800000000000001,9,17,17,2,1,2,0,0,0,6,0,1,0.11800000000000001,0.353,0.47100000000000003,0.38,0.66,0.444,0,3.77,0.251
bs,650,内野手,4,22,181,78,B型,右左,2017,0.182,10,26,22,4,0,0,0,3,1,6,0,1,0.308,0.22699999999999998,0.535,0.49,0.71,0.444,0,3.77,0.251
f,30000,内野手,4,31,185,98,不明,右右,2017,0.22899999999999998,137,571,503,115,32,90,0,54,7,125,0,18,0.308,0.45899999999999996,0.767,4.51,4.76,0.42,0,3.56,0.242
f,20000,内野手,11,29,183,99,O型,右右,2017,0.21600000000000003,129,542,472,102,16,67,0,61,5,103,0,14,0.31,0.36700000000000005,0.6759999999999999,3.69,3.85,0.42,0,3.56,0.242
f,16000,外野手,8,26,180,77,A型,右左,2017,0.29600000000000004,138,623,541,160,9,44,39,69,4,103,6,6,0.37799999999999995,0.41600000000000004,0.794,6.37,6.17,0.42,0,3.56,0.242
f,8600,内野手,10,27,178,73,A型,右左,2017,0.20800000000000002,91,331,283,59,1,13,11,23,0,80,25,2,0.268,0.237,0.505,2.04,2.13,0.42,0,3.56,0.242
f,7500,内野手,17,37,176,78,O型,右左,2017,0.252,107,349,314,79,2,18,11,35,0,36,0,4,0.327,0.29600000000000004,0.623,3.66,3.65,0.42,0,3.56,0.242
f,5600,捕手,7,25,173,85,O型,右左,2017,0.413,57,231,167,69,3,29,3,60,2,27,0,3,0.5670000000000001,0.557,1.124,14.7,13.85,0.42,0,3.56,0.242
f,4300,外野手,10,28,188,95,O型,右右,2017,0.258,118,457,427,110,15,46,5,28,0,88,0,14,0.302,0.41700000000000004,0.7190000000000001,4.06,4.06,0.42,0,3.56,0.242
f,3000,外野手,16,38,178,85,O型,右右,2017,0.205,44,49,44,9,0,10,0,5,0,13,0,1,0.28600000000000003,0.25,0.536,2.22,2.27,0.42,0,3.56,0.242
f,2270,内野手,7,25,181,79,AB型,右右,2017,0.27399999999999997,115,448,402,110,5,33,6,21,3,61,21,7,0.314,0.353,0.667,3.72,3.62,0.42,0,3.56,0.242
f,2100,内野手,10,27,173,76,B型,右両,2017,0.147,35,85,75,11,0,3,1,5,0,20,5,1,0.2,0.2,0.4,0.75,0.88,0.42,0,3.56,0.242
f,1900,捕手,13,31,178,89,A型,右右,2017,0.276,19,30,29,8,0,1,0,0,0,6,1,0,0.276,0.345,0.621,3.35,3.12,0.42,0,3.56,0.242
f,1740,内野手,2,24,181,79,O型,右左,2017,0.205,114,361,317,65,3,24,3,28,1,113,14,6,0.271,0.271,0.542,2.02,2.15,0.42,0,3.56,0.242
f,1300,内野手,3,25,177,93,O型,右右,2017,0.239,50,149,134,32,7,20,0,11,3,45,0,2,0.309,0.418,0.727,4.47,4.65,0.42,0,3.56,0.242
f,1000,捕手,4,22,185,86,A型,右右,2017,0.198,61,120,111,22,1,10,0,5,0,35,3,4,0.231,0.261,0.49200000000000005,1.31,1.46,0.42,0,3.56,0.242
f,910,外野手,4,22,183,78,B型,右左,2017,0.16699999999999998,19,44,42,7,0,3,1,2,0,17,0,1,0.205,0.23800000000000002,0.44299999999999995,0.99,1.02,0.42,0,3.56,0.242
f,790,内野手,5,23,178,79,B型,右右,2017,0.133,22,35,30,4,0,2,0,3,0,13,2,0,0.212,0.233,0.445,1.23,1.37,0.42,0,3.56,0.242
f,690,内野手,4,21,186,81,A型,右左,2017,0.171,40,88,82,14,1,6,0,2,0,21,4,1,0.19,0.256,0.447,1.03,1.15,0.42,0,3.56,0.242
f,530,外野手,5,23,180,76,B型,右左,2017,0.14300000000000002,7,14,14,2,0,0,0,0,0,3,0,0,0.14300000000000002,0.214,0.35700000000000004,0.2,0.27,0.42,0,3.56,0.242
f,510,内野手,4,22,183,84,B型,右右,2017,0.182,3,12,11,2,0,0,0,1,0,5,0,0,0.25,0.182,0.43200000000000005,1.26,1.47,0.42,0,3.56,0.242
f,480,内野手,2,20,177,91,A型,右左,2017,0.25,1,4,4,1,0,1,0,0,0,1,0,0,0.25,0.25,0.5,1.97,1.98,0.42,0,3.56,0.242
m,13100,外野手,12,31,180,85,A型,右左,2017,0.26899999999999996,110,452,383,103,8,44,6,62,4,44,1,6,0.375,0.397,0.772,5.76,5.66,0.38299999999999995,0,3.35,0.233
m,11000,内野手,7,29,175,79,O型,右左,2017,0.26,143,588,508,132,11,52,6,55,18,85,3,7,0.35,0.39799999999999996,0.748,5.06,5.04,0.38299999999999995,0,3.35,0.233
m,5700,捕手,6,24,174,80,A型,右右,2017,0.248,132,359,311,77,3,36,4,26,1,68,17,7,0.304,0.33399999999999996,0.638,3.28,3.36,0.38299999999999995,0,3.35,0.233
m,5000,外野手,9,32,180,85,A型,右右,2017,0.203,79,263,231,47,3,21,3,24,3,61,5,8,0.287,0.28600000000000003,0.573,2.47,2.54,0.38299999999999995,0,3.35,0.233
m,3800,外野手,9,33,172,75,O型,右右,2017,0.264,103,394,356,94,5,24,26,25,2,44,10,6,0.315,0.374,0.6890000000000001,4.4,4.27,0.38299999999999995,0,3.35,0.233
m,3500,内野手,4,26,180,79,A型,右右,2017,0.275,85,312,280,77,9,32,11,20,6,63,5,5,0.336,0.43200000000000005,0.768,5.15,5.05,0.38299999999999995,0,3.35,0.233
m,3500,内野手,25,42,183,88,B型,左左,2017,0.22399999999999998,70,155,134,30,0,18,0,18,1,25,0,4,0.316,0.276,0.5920000000000001,2.98,3.12,0.38299999999999995,0,3.35,0.233
m,3100,外野手,6,27,183,84,AB型,右両,2017,0.266,98,292,271,72,5,27,7,6,1,44,12,2,0.282,0.402,0.684,3.81,3.78,0.38299999999999995,0,3.35,0.233
m,2820,内野手,13,35,177,77,A型,右左,2017,0.22,40,118,109,24,1,9,1,6,1,34,2,0,0.267,0.33,0.598,3.08,3.02,0.38299999999999995,0,3.35,0.233
m,2520,内野手,13,30,182,84,B型,右右,2017,0.19,41,106,100,19,2,13,0,5,0,38,1,2,0.22899999999999998,0.32,0.5489999999999999,1.99,2.1,0.38299999999999995,0,3.35,0.233
m,2240,内野手,5,27,175,78,A型,右右,2017,0.242,85,229,207,50,2,19,0,8,3,55,9,1,0.27699999999999997,0.314,0.591,2.87,2.93,0.38299999999999995,0,3.35,0.233
m,1840,外野手,8,30,179,79,A型,右右,2017,0.17300000000000001,52,117,104,18,0,4,4,9,0,22,4,1,0.239,0.20199999999999999,0.441,1.47,1.61,0.38299999999999995,0,3.35,0.233
m,1580,捕手,5,27,183,94,O型,右右,2017,0.17,61,107,94,16,3,6,0,7,0,30,6,4,0.228,0.34,0.568,1.83,1.91,0.38299999999999995,0,3.35,0.233
m,1350,内野手,5,29,180,114,A型,右右,2017,0.23,35,119,113,26,0,11,0,5,1,26,0,2,0.26899999999999996,0.292,0.561,2.44,2.37,0.38299999999999995,0,3.35,0.233
m,1310,内野手,3,20,176,80,A型,右左,2017,0.17600000000000002,50,129,119,21,1,3,1,6,1,40,3,1,0.222,0.235,0.45799999999999996,1.34,1.48,0.38299999999999995,0,3.35,0.233
m,1200,内野手,11,29,184,84,A型,右左,2017,0.171,28,38,35,6,0,1,0,3,0,6,0,4,0.237,0.22899999999999998,0.465,0.23,0.26,0.38299999999999995,0,3.35,0.233
m,1000,内野手,9,27,180,82,A型,右右,2017,0.20600000000000002,91,240,214,44,5,23,1,14,1,56,9,1,0.255,0.336,0.5920000000000001,2.82,2.97,0.38299999999999995,0,3.35,0.233
m,580,内野手,4,22,176,83,A型,右左,2017,0.195,19,42,41,8,0,2,0,0,0,6,1,1,0.195,0.195,0.39,0.4,0.5,0.38299999999999995,0,3.35,0.233
m,510,外野手,5,23,182,88,A型,右左,2017,0.23800000000000002,16,21,21,5,0,0,0,0,0,12,0,0,0.23800000000000002,0.28600000000000003,0.524,2.06,1.99,0.38299999999999995,0,3.35,0.233
m,450,内野手,3,26,174,73,B型,右左,2017,0.154,9,13,13,2,0,0,1,0,0,2,0,0,0.154,0.154,0.308,0.24,0.42,0.38299999999999995,0,3.35,0.233
